Description,Search name,Item Segment,Total available,Financial cost amount,Inventory Part
"""V"" Belt Set",7M-4702,Power,1,14629.01,belt
005-8160,005-8160,,16,10911.68,Other
01,9X-2201,,4,12182.19,Other
08mm Thick Fuel Line Gasket,9Y-6087,Power,4,21971.04,Gasket
1,3770007,Power,1,253340.52,Other
1 Inch,"JubileeClampSS1""",Power,35,1649.2,Other
1 Inch KTZ,"BallValves1""",Power,9,10178.01,Other
1 NGR HFO CWIP-0018,1 NGR HFO CWIP-0018,Power,1,1167775.5,Other
1 Separator HFO CWIP-0026,1 Separator HFO CWIP,Power,1,4092070.5,Other
"1""",FlatBar3MM,Power,100,5072.82,Other
"1"" X 1""",MSAngle3MM,Power,31,3142.31,Other
"1.5"" X 1.5""",MSAngle4MM,Power,100,26334,Other
1/2 Inch ,JubileeClampSS12,Power,31,811.58,Other
"1/4-20"" Threaded external Hexagonal Steel Bolt",OS-1615,Power,26,2555.28,bolt
"10 Spanner 6 mm, 1"" Length",GalBoltSingleWash10s,Power,952,4788.56,spanner
1071 Accumulator Diaghpram - 10L Sany,AccumulatorDiaghpra,Machines,2,77500,Other
10R-2623,10R-2623,,1,2,Other
11 Pin 12v DC Glass Relay Finder HO,11Pin12vDC,power,36,18000,relay
11 Pin 220V AC Glass Relay HO,11Pin220VAC,power,28,11941.18,relay
11 pin 24v DC Glass Relay HO,11pin24vDC,power,36,18000,relay
111-3718,111-3718,,16,679856,Other
111-3718 (Mechanical Injector - Reconditional - Tritek),111-3718 (RC-TriTek),Power,44,5391709.41,injector
1161 Electric Loop -60170594 STC500-SANY,60170594,Machines,1,27000,loop
1162 IO Expansion Module- 60237453 STC500-SANY,60237453,Machines,1,117000,module
1163 Oil Coller-5188100 Sem,5188100,Machines,1,55000,Oil Cooler
1164 Oil Coller Gasket-5990219 SEM,5590219,Machines,1,8700,Gasket
1165 Oil Seal -5210314 SEM,5210314,Machines,2,2600,Oil Seal
12.5 High Pressure Hose (L=1360),Z3B01800300,MHE,1,5403.65,pressure hose
12.5 High Pressure Hose (L=570),Z3A01803100,MHE,1,3845.8,pressure hose
12.5 High Pressure Hose (L=840),Z3A01702100,MHE,1,4365.9,pressure hose
12.5 High Pressure Hose (L=860),Z3A01801300,MHE,1,5036.5,pressure hose
12.5 High Pressure Hose (L=930),Z3A01802400,MHE,1,5586.35,pressure hose
12.5 High Pressure Hose (L=980),Z3A01803600,MHE,1,5036.5,pressure hose
122-5963,122-5963,Power,32,32,Other
"13 Spanner 8 mm, 1"" Length",GalNutBolt,Power,498,4098.54,spanner
"13 Spanner 8 mm, 1"" Length",GalBoltSingleWash,Power,375,2313.75,spanner
131-5567,131-5567,Power,6,587721,Other
132-6469,132-6469,,2,4797.94,Other
133U-Bolt,A810301010996,Machines,5,7805.61,bolt
146-7472,146-7472,Machine/Power,14,95593.47,Other
158-3531,158-3531,Power,16,9.47,Other
19 High Pressure Hose (L=1020),Z3A01801600,MHE,1,5036.5,pressure hose
19 High Pressure Hose (L=1620),Z3B01701400,MHE,1,4534.6,pressure hose
19 High Pressure Hose (L=2160),Z3A01700600,MHE,1,8061.2,pressure hose
19 High Pressure Hose (L=950),Z3B01701200,MHE,1,5830.3,pressure hose
"19 Spanner 12 mm, 3"" Length",GalNutBoltDoubleWash,Power,90,6514.2,spanner
1ST BEARING COVER OIL SEA,SNBSF91410,Machines,4,1056,bearing
1xAir Compressor HFO,1xAir Compressor HFO,Power,1,948410,compressor
2 Inch,"JubileeClampSS2""",Power,31,1785.29,Other
"2"" X 2""",MSAngle5MM,Power,90,27838.8,Other
213-1049,213-1049,,1,88480.56,Other
216-1685,216-1685,Power,1,6713.79,Other
"22 Spanner 14 mm, 1"" Length",GalNutBoltDouble22w,Power,270,15076.8,spanner
236-7516,236-7516,Power,1,1,Other
2500 Amp Threepole BCH with Auxiliaries,Schneider (Refurb) A,Power,1,355000,Other
258-5588,258-5588,Power,2,2,Other
3/4 Inch,JubileeClampSS34,Power,32,1172.8,Other
3/4 Inch KTZ,"BallValves34""",Power,4,3602.08,Other
317843 High Pressure Washer 1300mm,HighPressureWasher,Power,1,28559,washer
318186 INGCO High Pressure Washer 1500,INGCOHighPressure,Power,1,31085,washer
320D2GC boom jack seal kit,4560207,Machines,1,54801.75,Other
320DL Compressor V - Belt,2552927,Machines,1,6167.06,compressor
3P-6061,3P-6061,Power,3,842.24,Other
3W-VALVE,1240-9424,Power,1,1,Valve
416-6999,4166999,Power,1,35912.74,Other
4W-2471 Spring,4w-2471,Machine/Remove,4,6398.97,Other
5963131 Gasket,5963131Gasket,Machines,12,6540,Gasket
5N-1940,5N-1940,Power,3,200.36,Other
5P-6718,5P-6718,Power,61,929.13,Other
5P-8210,5P-8210,Power/Remove,1,775.23,Other
60034226,60034226,Power/Remove,2,11601.73,Other
60101256 OIL RETURN FILTER,60101256,Machine/Remove,10,120222.68,Oil Filter
6N-7688,6N-7688,,1,196501.2,Other
7E-6508,7E-6508,Power,1,1676.14,Other
7N-7539,7N-7539,Power,4,20228.71,Other
8T-7526,8T-7526,Power/Remove,19,1303.69,Other
9JS135 SHIFTING HANDLE,SNDZ9114240556,Machines,2,1200,Other
9Y-6893,9Y-6893,Power,11,1907.6,Other
9Y-6992,9Y-6992,Power,2,2,Other
A/C belt,60014157,Machines,1,2950.35,belt
A240600000159 LENGTH/ANGLE SENSOR,A240600000159,Machines,1,156074,sensor
ABS VALVE,SNDZ95189711105,Machines,4,10380,Valve
ABSORBER,SN199112680014,Machines,4,10352,Other
AC BELT,SNDZ13241824602,Machines,5,6265,belt
AC filter 320 D2GC,2931183,Machines,1,6604.69,filter
AC filter 320 D2GC (02),2457823,Machines,1,4513.19,filter
AC filter of wheel loader,5220793,Machines,1,2362.06,filter
AC filter of wheel loader 2,5220794,Machines,1,4913.69,filter
ACB,ACB,Power,2,41000,Other
